strain	Albendazole_q90.TOF	Ivermectin_mean.TOF	Levamisole_mean.TOF
AB1	-14.381852312620712	1.9124264978422474	3.0980591781815257
BRC20067	120.73251160769745	NA	NA
BRC20263	-47.73113802606029	NA	NA
CB4852	-11.427605256831761	10.667283342057186	-10.406338517018945
CB4854	NA	32.959103198901474	NA
CB4856	-46.660876628901214	-14.193977497363743	23.19916402237198
CB4932	-10.70524519024027	53.41514216265046	-4.829832523837168
CX11262	-34.55317080388618	1.37160514921466	-7.867247340159971
CX11264	-39.77055664003245	18.455400556855164	18.040727791442457
CX11271	145.1197975425481	NA	NA
CX11276	-35.95337915283819	14.846479010113473	15.645871215483623
CX11285	-3.1588228228387907	NA	NA
CX11292	-22.99609926023194	44.63081490022051	10.578714461364976
CX11307	-84.58415809235758	NA	3.53452675451047
CX11314	22.026721472516044	-16.344621408814312	NA
CX11315	-22.717471041127922	21.74212442041966	12.674806233422549
DL200	-19.402072284573446	NA	NA
DL226	-34.66459783972717	NA	NA
DL238	-33.32638554872929	12.71206961056866	1.1764018918619363
ECA189	-11.432229263360414	NA	NA
ECA246	NA	NA	NA
ECA248	NA	-15.672636562922666	-21.6689866379716
ECA250	-16.676651691637918	0.9052319712288117	-24.627395881298515
ECA251	-36.225229603157345	NA	NA
ECA252	-118.6388728370553	NA	NA
ECA259	-19.381727816887352	-5.637169502429674	26.416717025795254
ECA348	141.36962285351024	-12.747274544978058	19.87250390323823
ECA349	-7.915609904863575	-25.71273776031103	-15.341711752796478
ECA36	-25.9831013107526	NA	NA
ECA369	NA	NA	NA
ECA372	-90.99516742689896	-11.608943493915326	-2.550635237627251
ECA396	-63.43962544929402	-48.52720100276154	-2.8120247752360843
ED3005	NA	NA	-15.943026355911739
ED3011	186.07999336854954	20.039965314356976	-15.050186633587145
ED3012	141.81843019776707	40.30900085321831	31.872673698544318
ED3017	31.728935789267798	19.74603761975136	12.049587520390945
ED3040	-24.149686496174898	NA	NA
ED3046	22.610561081740613	-11.117657969292933	17.182834053791538
ED3048	-16.323406841675343	NA	NA
ED3049	-11.06365378195175	NA	NA
ED3052	-27.929482923475415	NA	NA
ED3073	-13.2675338747651	-15.275440846542123	6.9971958754830395
ED3077	NA	28.579400082323104	13.173657861521784
EG4347	-33.05230197247139	-27.501357374480484	15.467055467652632
EG4349	-104.8243821370012	4.360413649383486	NA
EG4724	110.72035021964868	7.260746488645996	-28.92091903951358
EG4725	52.77412370996357	56.745719171993066	36.55442928843943
EG4946	172.61468182672786	-0.843746141752332	1.672511585859505
GXW1	-9.78846286526317	-14.761091952601609	21.09184264739523
JT11398	-34.53098034761	24.98723712611961	12.069960116584856
JU1088	86.48504111839966	NA	NA
JU1172	-53.56255163098012	NA	NA
JU1200	-34.52073294459906	NA	18.239409487376264
JU1212	NA	47.481513932564496	6.499798201959688
JU1213	-11.405705189766785	9.065593546484273	18.367272681241108
JU1242	1.6252257994122097	NA	NA
JU1246	NA	NA	NA
JU1249	NA	10.268011437155481	11.48102327065438
JU1395	128.87095706153016	-7.437037676782794	-30.195570116556357
JU1409	-58.073576127759935	NA	NA
JU1440	NA	NA	NA
JU1491	-54.178330002933215	NA	-5.018395760805839
JU1530	12.786241201008885	NA	-2.0031756302965786
JU1543	-31.753543759376672	19.754344493474626	12.253838706439492
JU1568	-83.10028663674971	18.048097265083985	26.699296116156454
JU1580	-20.9365135890556	NA	NA
JU1581	NA	NA	NA
JU1586	NA	NA	-46.0711463501479
JU1652	-39.05727619494113	-21.382559202749295	20.58470407043225
JU1666	-21.988922217500956	NA	NA
JU1792	-19.363091744529793	NA	NA
JU1793	-28.757352556166992	24.48702548759102	-15.343380651848374
JU1808	52.392916540845356	-18.804748239161654	16.004363567503486
JU1896	-18.403852556938954	13.396371155645634	10.639549224382536
JU1934	-42.87112710782444	NA	NA
JU2001	NA	-7.188898604721999	-2.7033169422476226
JU2007	-9.916223680468407	NA	NA
JU2016	-16.525314874309757	NA	NA
JU2017	31.632342636504195	NA	-30.688638767359866
JU2106	NA	-24.814586291204506	43.18414027776695
JU2131	-27.68056686760916	-24.08980030854965	-0.7704516770218501
JU2141	-141.37021338762904	-13.872288790106525	0.8338107355584011
JU2234	NA	-14.536406657322896	NA
JU2250	-4.151191561505589	NA	-16.32649587105316
JU2257	-43.71906039381368	17.40312330335143	-29.417311389226455
JU2464	-18.247880108654623	NA	NA
JU2466	-20.16500731204321	NA	NA
JU2478	9.007220917215317	-21.176944509205953	NA
JU2513	-20.91347355708553	-11.456325189406336	-8.47788675623797
JU2522	-29.50286636069901	11.251276741591804	17.815275725040095
JU2526	-1.017765185867714	-57.72707159527402	-1.8427647180464188
JU2534	-8.695652100584056	-19.69785633673503	-5.562487871890873
JU2565	-100.13025701492418	-9.722113091519073	-5.80845470095015
JU2566	-43.45416247915826	-8.800111512561275	0.3790822556806761
JU2570	-47.56858331449229	-3.026261551592424	-36.55681042023191
JU2572	-69.78572554639756	7.337085487830071	21.066426414489925
JU2575	-69.85154875415982	-19.25908937678885	NA
JU2576	-89.78975570558595	-8.359817911858231	7.825824364946339
JU2578	-20.90189220899597	26.8990417150959	18.588991240530632
JU258	4.757739784814378	-33.94969884680901	-1.3660786509539775
JU2581	186.55713915218186	NA	1.0850893905834733
JU2586	-28.95655511093561	100.13853290679593	-1.1714018756219677
JU2587	96.90178920274586	-52.77261064910721	-23.211324863042673
JU2592	-57.257246429242755	2.356740544002305	10.806811871680807
JU2593	143.8055954241005	-51.085793524706794	32.82163442928384
JU2600	-47.77007923229939	21.163080533550865	-13.874721493831398
JU2610	-65.65368675129682	39.87640919200828	-11.652493753110116
JU2619	-13.110239796072836	41.8861391959113	-25.58981457230285
JU2800	-42.57885607191241	-9.063080391170853	15.125391392820013
JU2811	NA	36.057549601384345	-18.348225072898913
JU2825	-60.02893873268499	31.636262313570576	1.267899167603997
JU2829	166.16166015219798	-22.665635237295938	-73.85677799893617
JU2838	-72.47822927132916	-26.17438472202238	-44.46827734702563
JU2841	NA	-12.4249781442673	32.80865553213577
JU2853	-31.44504232198983	1.5949667075795435	-8.227875891946034
JU2862	16.543406252064464	34.65998729540189	NA
JU2866	-43.73492186308932	-12.876669516401188	25.355256750132586
JU2878	-38.15324701621546	28.92883225626218	-0.31836998592714016
JU2879	-15.74947219980461	-47.29977741367766	1.855566442040644
JU2906	-24.624845095268366	-0.8049180388954214	33.80471762880995
JU2907	NA	8.37136511452325	9.0221902653602
JU310	NA	-5.2817029063954095	NA
JU311	-8.594773462621607	NA	NA
JU3125	98.01678529257667	-6.619021283250829	-1.971796725192931
JU3127	-11.62671367986604	45.500450707092135	-38.25873545878069
JU3128	-20.82174590199678	-17.25847286231272	-10.651512794312186
